year,lhd_name,lhd_area_type,county_name,expenditures,population,per_capita_spending
2003,Alexander County Health Department,Single,Alexander,"1,781,515.38","34,998.00",50.90
2004,Alexander County Health Department,Single,Alexander,"1,995,524.86","34,959.00",57.08
2005,Alexander County Health Department,Single,Alexander,"2,091,490.77","35,786.00",58.44
2006,Alexander County Health Department,Single,Alexander,"2,247,851.61","36,042.00",62.37
2007,Alexander County Health Department,Single,Alexander,"2,513,023.16","36,609.00",68.64
2008,Alexander County Health Department,Single,Alexander,"2,638,066.45","36,743.00",71.80
2009,Alexander County Health Department,Single,Alexander,"2,687,628.82","37,053.00",72.53
2010,Alexander County Health Department,Single,Alexander,"2,763,317.61","37,198.00",74.29
2011,Alexander County Health Department,Single,Alexander,"2,784,167.67","37,026.00",75.19
2012,Alexander County Health Department,Single,Alexander,"2,911,935.13","37,323.00",78.02
2013,Alexander County Health Department,Single,Alexander,"2,833,210.35","37,012.00",76.55
2014,Alexander County Health Department,Single,Alexander,"2,807,105.01","37,597.00",74.66
2015,Alexander County Health Department,Single,Alexander,"2,876,189.00","37,550.00",76.60
2016,Alexander County Health Department,Single,Alexander,"2,574,226.35","37,908.00",67.91
2017,Alexander County Health Department,Single,Alexander,"2,191,004.95","37,143.00",58.99
2018,Alexander County Health Department,Single,Alexander,"2,376,515.17","37,119.00",64.02
2019,Alexander County Health Department,Single,Alexander,"2,637,631.08","38,530.00",68.46
2020,Alexander County Health Department,Single,Alexander,"2,603,067.32","38,755.00",67.17
2014,Anson County Health Department,Single,Anson,"1,315,510.00","26,304.00",50.01
2015,Anson County Health Department,Single,Anson,"1,702,442.00","26,035.00",65.39
2016,Anson County Health Department,Single,Anson,"1,822,380.00","25,644.00",71.06
2017,Anson County Health Department,Single,Anson,"1,688,691.00","24,829.00",68.01
2018,Anson County Health Department,Single,Anson,"1,830,782.00","25,306.00",72.35
2019,Anson County Health Department,Single,Anson,"1,806,511.00","25,290.00",71.43
2020,Anson County Health Department,Single,Anson,"1,617,610.00","25,289.00",63.96
2002,Cabarrus County Health Department,Single,Cabarrus,"11,909,867.00","139,839.00",85.17
2003,Cabarrus County Health Department,Single,Cabarrus,"11,821,377.00","143,336.00",82.47
2004,Cabarrus County Health Department,Single,Cabarrus,"13,504,496.00","146,053.00",92.46
2005,Cabarrus County Health Department,Single,Cabarrus,"13,996,385.00","150,797.00",92.82
2006,Cabarrus County Health Department,Single,Cabarrus,"15,570,641.00","157,025.00",99.16
2007,Cabarrus County Health Department,Single,Cabarrus,"16,451,712.00","165,717.00",99.28
2008,Cabarrus County Health Department,Single,Cabarrus,"17,973,741.00","170,901.00",105.17
2009,Cabarrus County Health Department,Single,Cabarrus,"19,771,535.00","175,993.00",112.34
2010,Cabarrus County Health Department,Single,Cabarrus,"17,523,630.00","178,011.00",98.44
2011,Cabarrus County Health Department,Single,Cabarrus,"18,765,286.00","181,175.00",103.58
2012,Cabarrus County Health Department,Single,Cabarrus,"23,110,516.00","183,253.00",126.11
2013,Cabarrus County Health Department,Single,Cabarrus,"17,764,524.00","187,240.00",94.88
2014,Cabarrus County Health Department,Single,Cabarrus,"17,570,282.00","190,218.00",92.37
2015,Cabarrus County Health Department,Single,Cabarrus,"18,723,536.00","194,982.00",96.03
2016,Cabarrus County Health Department,Single,Cabarrus,"19,997,570.00","200,230.00",99.87
2017,Cabarrus County Health Department,Single,Cabarrus,"22,705,092.00","206,988.00",109.69
